entity_id,wallet_count,unique_accounts,execution_shape_count,shape_entropy,slot_count,atomic_arb_count,pga_slot_count,avg_top_entity_share,toxic_pool_interactions,early_rate,total_txs,validator_mev_slot_ratio,validator_early_ratio,validator_unique_entities,avg_slots_seen,best_entity_rank,validator_total_txs,validator_mev_txs,validator_mev_tx_ratio
Certusm1sa411sMpV9FPqU5dXAYhmmhygvxJ23S6hJ24,1,2,1,-0.0,15,0.0,0.0,0.5846846399456275,28,0,15,0.9333333333333333,0.0031034530831958403,496.4,3.0,1,6156.75,6099.75,0.9902
CfgRXmp1LEYr97EaT2RyoL2cSvtWgJh52Bes89RxVSoW,1,2,1,-0.0,15,0.0,0.0,0.5715190920583629,28,0,15,0.9333333333333333,0.0031034530831958403,496.4,3.0,1,6156.75,6099.75,0.9902
ChaossRPGKnsVhX1GfPC78yq5Sqju4cMThcAsKZNz5d6,1,2,1,-0.0,15,0.0,0.0,0.5715190920583629,28,0,15,0.9333333333333333,0.0031034530831958403,496.4,3.0,1,6156.75,6099.75,0.9902
CiR8HNCfkjtcongPmP2DRdZPnFgjSbN5gsXdjmsXXHcB,1,2,1,-0.0,14,0.0,0.0,0.5665543385607003,30,0,16,0.9333333333333333,0.0031034530831958403,496.4,2.8,1,6156.75,6099.75,0.9902
CjmXSapt1ouz3CZzgkRJckBEwMSo5fVdVrizLeRscwYD,1,2,1,-0.0,15,0.0,0.0,0.5715190920583629,30,0,16,0.9333333333333333,0.0031034530831958403,496.4,3.0,1,6156.75,6099.75,0.9902
CkCMabrc3HgBgDkeKPXkbWuQpUuSqW7zs1Mg3HFArx61,1,2,1,-0.0,15,0.0,0.0,0.5715190920583629,28,0,15,0.9333333333333333,0.0031034530831958403,496.4,3.0,1,6156.75,6099.75,0.9902
CoG8d9Fp2TFJRkAmrPMiPsGhQWHzdTTVoegEp9svRgmJ,1,2,1,-0.0,15,0.0,0.0,0.5715190920583629,30,0,16,0.9333333333333333,0.0031034530831958403,496.4,3.0,1,6156.75,6099.75,0.9902
Cogent51kHgGLHr7zpkpRjGYFXM57LgjHjDdqXd4ypdA,1,2,1,-0.0,15,0.0,0.0,0.5715190920583629,28,0,15,0.9333333333333333,0.0031034530831958403,496.4,3.0,1,6156.75,6099.75,0.9902
CpNnGGhgVATJAbzHUXdrcGfpPiGuZyPka4QUmH7YgavX,1,2,1,-0.0,14,0.0,0.0,0.5631653484489122,28,0,15,0.9333333333333333,0.0031034530831958403,496.4,2.8,1,6156.75,6099.75,0.9902
CpgSfd6QUoBw1267rTtJoZhELqC5q7isKLojBifSbNEE,1,2,1,-0.0,15,0.0,0.0,0.5715190920583629,28,0,15,0.9333333333333333,0.0031034530831958403,496.4,3.0,1,6156.75,6099.75,0.9902
Crg1X8FftV44NmwfFvgREjanBQmyyS7NEu6duLU7Cyy6,2,4,1,-0.0,15,0.0,1.0,0.5715190920583629,58,0,31,0.9333333333333333,0.0031034530831958403,496.4,3.0,1,6156.75,6099.75,0.9902
CtvdyHYt8cMuGVHFarV2RADfoCdnrbd8e9jAsB225uMW,1,2,1,-0.0,13,0.0,0.0,0.5650240592355926,26,0,15,0.9333333333333333,0.0031034530831958403,496.4,2.6,1,6156.75,6099.75,0.9902
CtzN7ysR5rX69qd168Aosbuc83mPozhi81bEHbG7ecNP,1,2,1,-0.0,13,0.0,0.0,0.5650240592355926,26,0,15,0.9333333333333333,0.0031034530831958403,496.4,2.6,1,6156.75,6099.75,0.9902
CwhdMezLucz7bcuWzStpLXgrzKGC2tBBiaVmJZjfprRN,1,2,1,-0.0,15,0.0,0.0,0.5715190920583629,28,0,15,0.9333333333333333,0.0031034530831958403,496.4,3.0,1,6156.75,6099.75,0.9902
CwyVpfmfSiMeCexi3JgUNvaiDfYN14cLDjzT99zcBuD2,3,6,1,-0.0,15,0.0,15.0,0.5715190920583629,90,0,48,0.9333333333333333,0.0031034530831958403,496.4,3.0,1,6156.75,6099.75,0.9902
