entity_id,wallet_count,unique_accounts,execution_shape_count,shape_entropy,slot_count,atomic_arb_count,pga_slot_count,avg_top_entity_share,toxic_pool_interactions,early_rate,total_txs,validator_mev_slot_ratio,validator_early_ratio,validator_unique_entities,avg_slots_seen,best_entity_rank,validator_total_txs,validator_mev_txs,validator_mev_tx_ratio,pca_1,pca_2,pca_3,risk_score,anomaly_score,risk_rank
9jJ3YRBL611e7xjXFMBExuninmTWjDnv3FXNotHmPnK2,1,2,1,-0.0,13,0.0,0.0,0.5737761610693919,28,0,15,0.9333333333333332,0.0031034530831958,496.4,2.6,1,6156.75,6099.75,0.9902,-0.17071117319763077,-0.37749825247722674,-0.35444055431415156,-1,-0.2670107736783992,207.5
6Rk694kh1QTyQkirdb1uDZmS5xqG9bNaYtxx8d311Mr7,1,2,1,-0.0,13,0.0,0.0,0.5694431828614179,28,0,15,0.9333333333333332,0.0031034530831958,496.4,2.6,1,6156.75,6099.75,0.9902,-0.17538728130914968,-0.3131642444924073,-0.46142811330645017,-1,-0.2673275929201931,210.5
7EzbSahSfSjeRexHcNDLDpzHBAGBLjLKtjbmuoQnEtjE,1,2,1,-0.0,13,0.0,0.0,0.5694431828614179,28,0,15,0.9333333333333332,0.0031034530831958,496.4,2.6,1,6156.75,6099.75,0.9902,-0.17538728130914968,-0.3131642444924073,-0.46142811330645017,-1,-0.2673275929201931,210.5
rapXHroUoGG3KvZ3qwjvGMdA7siWXwXpiNC1bYarvSC,1,2,1,-0.0,13,0.0,0.0,0.5723671119667766,28,0,15,0.9333333333333332,0.0031034530831958,496.4,2.6,1,6156.75,6099.75,0.9902,-0.17223180534070096,-0.35657735884064373,-0.38923203415858604,-1,-0.26826934956085535,212.0
SENDa18d6LsC1f85AJXXMncBxQyFQKSJWZ1jaop5K87,1,2,1,-0.0,14,0.0,0.0,0.5631653484489122,30,0,16,0.9333333333333332,0.0031034530831958,496.4,2.8,1,6156.75,6099.75,0.9902,-0.17339780301795105,0.25353160348112413,-0.5415031680979638,-1,-0.2687919262750787,214.5
DupN8puwoPdFo9EYm8AXemEn9cMsore1QmZzfPaxyUG4,1,2,1,-0.0,14,0.0,0.0,0.5631653484489122,30,0,16,0.9333333333333332,0.0031034530831958,496.4,2.8,1,6156.75,6099.75,0.9902,-0.17339780301795105,0.25353160348112413,-0.5415031680979638,-1,-0.2687919262750787,214.5
SQDS9iwyWvT2mQbSZzuNKGoxuBug5jRHouF6SuMRBkA,1,2,1,-0.0,14,0.0,0.0,0.5631653484489122,30,0,16,0.9333333333333332,0.0031034530831958,496.4,2.8,1,6156.75,6099.75,0.9902,-0.17339780301795105,0.25353160348112413,-0.5415031680979638,-1,-0.2687919262750787,214.5
2kVZVTY8FMRZ3WuHzyqNz8qd4Ytbba9f9DaesUm5WLvR,1,2,1,-0.0,14,0.0,0.0,0.5631653484489122,30,0,16,0.9333333333333332,0.0031034530831958,496.4,2.8,1,6156.75,6099.75,0.9902,-0.17339780301795105,0.25353160348112413,-0.5415031680979638,-1,-0.2687919262750787,214.5
2X7WoaXX9KPqNrNfvguhnwo3rjFPNsfw2t75fGjWRthz,1,2,1,-0.0,15,0.0,0.0,0.5846846399456275,28,0,15,0.9333333333333332,0.0031034530831958,496.4,3.0,1,6156.75,6099.75,0.9902,-0.14260981633613076,0.4074643601209886,0.0648412223564088,-1,-0.2689670263018738,224.5
SSmBEooM7RkmyuXxuKgAhTvhQZ36Z3G2WsmLGJKoQLY,1,2,1,-0.0,15,0.0,0.0,0.5846846399456275,28,0,15,0.9333333333333332,0.0031034530831958,496.4,3.0,1,6156.75,6099.75,0.9902,-0.14260981633613076,0.4074643601209886,0.0648412223564088,-1,-0.2689670263018738,224.5
